key,input,translation.english,translation.russian,definition.english,definition.russian,definition.serbian,example,synonyms,additionalInfo.partOfSpeech,additionalInfo.grammaticalGender,additionalInfo.grammaticalNumber,additionalInfo.cases.singular.nominative,additionalInfo.cases.singular.genitive,additionalInfo.cases.singular.dative,additionalInfo.cases.singular.accusative,additionalInfo.cases.singular.instrumental,additionalInfo.cases.singular.locative,additionalInfo.cases.singular.vocative,additionalInfo.cases.plural.nominative,additionalInfo.cases.plural.genitive,additionalInfo.cases.plural.dative,additionalInfo.cases.plural.accusative,additionalInfo.cases.plural.instrumental,additionalInfo.cases.plural.locative,additionalInfo.cases.plural.vocative,createdAt._seconds,createdAt._nanoseconds,updatedAt._seconds,updatedAt._nanoseconds
"10 лет назад вы могли купить биткоин по $8. сейчас он стоит $104.000
5 лет назад вы могли купить эфириум по $3. сейчас он стоит $3.700
3 года назад вы могли купить ton по $0,06. сейчас он стоит $6

сегодня вы можете купить сотни монет, которые со временем вырастут в 3-5-10 раз. но бедные люди не замечают таких возможностей, поэтому становятся только беднее.

богатые делают иначе. подписались на канал мистер голд и каждый день получают подборки токенов с перспективой роста до 1000%.

это как иметь хорошего друга-криптана, который за вас изучает рынок и на пальцах объясняет, куда тыкать, чтобы на выходе из $10 заработать $1000.

подписывайтесь, крипта – это главная золотая жила 2025 года: @mrgold

#advertising
-disabled for a month when replenishing your balance or for a year using the button below.",bogat,rich,богатый,Having abundant wealth or possessions,Обладающий богатством или достатком,Koji ima mnogo novca ili imovine,On je vrlo bogat čovek sa mnogo imovine.,"imućan, obogatio",adjective,m,s,bogat,bogatog,bogatom,bogatog,bogatim,bogatom,bogati,bogati,bogatih,bogatim,bogate,bogatim,bogatim,bogati,1737455874,473000000,1737455874,473000000
Ako,,If,если,A conjunction used to introduce a conditional clause.,"союз, используемый для введения условного предложения.",Veza koja uvodi zavisnu rečenicu.,"Ako padne kiša, ostajemo kod kuće.","ukoliko, da",,,,,,,,,,,,,,,,,,,,,
Ali,,but,но,A conjunction used to introduce a phrase or clause contrasting with what has already been mentioned.,"Союз, используемый для введения фразы или части предложения, контрастирующей с уже упомянутым.",Veznik koji uvodi frazu ili rečenicu koja je u kontrastu sa prethodno spomenutim.,"Hteo je da ide, ali je bio previše umoran.","međutim, no, ali ipak",,,,,,,,,,,,,,,,,,,,,
Bakrać,,cauldron,котёл,"A metal pot with a lid and handle, used for cooking over an open fire.","Металлический сосуд с крышкой и ручкой, используемый для готовки на открытом огне.","Metalna posuda s poklopcem i ručkom, koristi se za kuvanje na otvorenoj vatri.",Koristićemo bakrač da skuvamo gulaš na logorskoj vatri.,"lonac, katlanka, kazan",,,,,,,,,,,,,,,,,,1731661584,68000000,1731661584,68000000
Baštine,,to inherit,наследовать,To inherit or to be a custodian of heritage.,унаследовать или быть хранителем наследия.,naslediti ili čuvati nasleđe.,Oni baštine tradiciju svojih predaka.,"naslediti, primiti, dobiti",,,,,,,,,,,,,,,,,,,,,
Bez veze,,pointless,бессмысленный,"Used to describe something that is irrelevant, pointless, or has no importance.","Используется для описания чего-то несущественного, не имеющего значения или смысла.","Korišćeno za opisivanje nečega što je nerelevantno, besmisleno ili nema važnost.",Ovo što pričaš je skroz bez veze.,"besmisleno, nebitno, nevažno",,,,,,,,,,,,,,,,,,1731668230,933000000,1731668230,933000000
Bezbedni,,safe,безопасный,Free from harm or risk; secure.,Свободный от вреда или риска; безопасный.,Oslobođen opasnosti ili rizika; siguran.,Ljudi su se osećali bezbedni u svom domu.,"sigurni, zaštićeni, bezopasni",,,,,,,,,,,,,,,,,,,,,
Bezbedniji,,safer,более безопасный,Providing more safety and security compared to something else.,Обеспечивающий большую безопасность и защищенность по сравнению с чем-то другим.,Pripisujući više sigurnosti u poređenju sa nečim drugim.,Ovaj automobil je bezbedniji od starog modela.,"sigurniji, zaštićeniji",,,,,,,,,,,,,,,,,,,,,
Bicikl,,bicycle,велосипед,A two-wheeled vehicle that is powered by pedaling.,"двухколесное транспортное средство, приводимое в движение педалями",Dvotočkaš koji se pokreće pedaliranjem.,On vozi bicikl svakog dana.,"biciklo, bicikleta, točak",,,,,,,,,,,,,,,,,,,,,
Biljka,,plant,растение,"A living organism of the type exemplified by trees, shrubs, herbs, grasses, ferns, and mosses, typically fixed in place and absorbing water and inorganic substances through its roots.","Живой организм, такой как деревья, кустарники, травы, папоротники и мхи, обычно фиксированный в одном месте и поглощающий воду и неорганические вещества через свои корни.","Živi organizam kakav su drveće, grmlje, trave, paprati i mahovine, obično nepokretan i koji upija vodu i neorganske supstance kroz svoje korenje.",Biljke u vrtu su rasle brzo tokom leta.,"flora, vegetacija, zelje",,,,,,,,,,,,,,,,,,,,,
Biranje,,selection,выбор,The act of selecting or choosing something.,Процесс выбора чего-либо.,Akt izbora ili odabira nečega.,Biranje pravog kandidata je važno.,"odabir, selekcija, izbor",,,,,,,,,,,,,,,,,,,,,
